,id,char,count,length
0,00021,!,2,69.9795462701281
1,0002c,",",1,43.143023884014895
2,0002e,.,1,18.85766691197929
3,00030,0,1,212.3957059901255
4,00031,1,1,104.26886717595484
5,00032,2,1,207.02189528737975
6,00033,3,1,213.50480339631443
7,00034,4,2,169.99355900987985
8,00035,5,2,227.135950458934
9,00036,6,1,235.37893475616687
10,00037,7,2,153.2647656379323
11,00038,8,1,287.4288986975984
12,00039,9,1,233.52770123351763
13,0003a,:,2,37.715333823958574
14,0003b,;,2,61.89578880892806
15,0003f,?,2,127.69233390930988
16,00041,A,3,215.45893976160207
17,00042,B,3,316.58979129805914
18,00043,C,1,184.4649221375573
19,00044,D,2,228.53317613498453
20,00045,E,4,217.72000000000003
21,00046,F,3,155.32000000000002
22,00047,G,2,234.47681056088103
23,00048,H,3,204.69000000000003
24,00049,I,1,77.52000000000001
25,0004a,J,1,126.94507901369496
26,0004b,K,3,199.25609741917967
27,0004c,L,2,125.1
28,0004d,M,4,323.0916744810964
29,0004e,N,3,246.40980739549883
30,0004f,O,1,227.36796504291044
31,00050,P,2,207.02496388164155
32,00051,Q,2,258.57844272907136
33,00052,R,3,248.6685880117928
34,00053,S,1,224.2556059165456
35,00054,T,2,138.17000000000002
36,00055,U,1,184.37580117100003
37,00056,V,2,169.1181409618489
38,00057,W,4,320.0354366493611
39,00058,X,2,194.40025229381283
40,00059,Y,3,137.43419389564244
41,0005a,Z,3,214.24022409421295
42,00061,a,2,207.50838930089537
43,00062,b,2,216.5964940057189
44,00063,c,1,147.143930594898
45,00064,d,2,216.5964940057189
46,00065,e,2,203.61598887086325
47,00066,f,2,129.9904347213759
48,00067,g,3,276.68235383274884
49,00068,h,2,176.137523909709
50,00069,i,2,67.33883345598964
51,0006a,j,2,95.81772487517132
52,0006b,k,3,171.45688686272428
53,0006c,l,1,77.16
54,0006d,m,3,242.4280635937089
55,0006e,n,2,156.63752390970902
56,0006f,o,1,167.3491660822261
57,00070,p,2,212.3464940057189
58,00071,q,2,212.3464940057189
59,00072,r,2,97.2128046917849
60,00073,s,1,163.49778909538574
61,00074,t,2,124.32776726119052
62,00075,u,2,155.88874572060183
63,00076,v,2,124.85156110158096
64,00077,w,4,240.867489274094
65,00078,x,2,148.85464106692083
66,00079,y,2,146.0517056299138
67,0007a,z,3,168.01064709214367
68,02e89,⺉,2,132.71422322723268
69,02e8c,⺌,3,110.65000777543544
70,02e8d,⺍,3,72.99883595933392
71,02e95,⺕,3,267.53851965342386
72,02e97,⺗,4,167.86125684818296
73,02ea1,⺡,3,72.95536690986444
74,02ea2,⺢,5,223.06835675834947
75,02ea4,⺤,4,114.50980803788418
76,02ea6,⺦,3,138.73506590728906
77,02ea8,⺨,3,191.7950555019255
78,02ead,⺭,4,208.69913194996252
79,02ec3,⻃,6,258.40851707714296
80,02ecc,⻌,3,160.40397268417428
81,02ecf,⻏,3,183.4945923350029
82,02ed6,⻖,3,183.4945851051324
83,03001,、,1,19.47516391959691
84,03002,。,1,73.23354370295965
85,03005,々,3,196.3320645771768
86,03006,〆,2,185.49451107521287
87,03041,ぁ,3,251.7416300247097
88,03042,あ,3,314.00266158482293
89,03043,ぃ,2,88.36048943590927
90,03044,い,2,106.835168942724
91,03045,ぅ,2,105.99154490132368
92,03046,う,2,129.56448972721938
93,03047,ぇ,2,174.53467990338163
94,03048,え,2,220.77799165363828
95,03049,ぉ,3,224.6653075961948
96,0304a,お,3,279.4276611623
97,0304b,か,3,204.073863659936
98,0304c,が,5,227.2715186590354
99,0304d,き,4,196.8704087188127
100,0304e,ぎ,6,220.0653363871972
101,0304f,く,1,92.98191880124732
102,03050,ぐ,3,116.24527946643424
103,03051,け,3,192.71611782418807
104,03052,げ,5,216.0526843482708
105,03053,こ,2,110.83531151948036
106,03054,ご,4,134.0329665185798
107,03055,さ,3,169.85714843898933
108,03056,ざ,5,193.14411192043443
109,03057,し,1,112.62972975295268
110,03058,じ,3,135.8273847520521
111,03059,す,2,224.77973343017428
112,0305a,ず,4,247.9773884292737
113,0305b,せ,3,235.72118932654251
114,0305c,ぜ,5,258.9273542811566
115,0305d,そ,1,253.6003417424401
116,0305e,ぞ,3,276.7979967415395
117,0305f,た,4,195.2631245909036
118,03060,だ,6,218.460779590003
119,03061,ち,2,199.51680186825476
120,03062,ぢ,4,222.73433978261363
121,03063,っ,1,118.1319109135033
122,03064,つ,1,148.18546743082362
123,03065,づ,3,171.38312242992305
124,03066,て,1,185.2020755051656
125,03067,で,3,208.39973050426505
126,03068,と,2,161.54144686511154
127,03069,ど,4,184.7390524662079
128,0306a,な,4,239.54443074433115
129,0306b,に,3,176.30524520435344
130,0306c,ぬ,2,347.3790752601324
131,0306d,ね,2,347.3057359423166
132,0306e,の,1,242.0184672043285
133,0306f,は,3,272.0942406896358
134,03070,ば,5,295.3637680574071
135,03071,ぱ,4,317.3705769925764
136,03072,ひ,1,237.52502611036368
137,03073,び,3,260.7226811094631
138,03074,ぴ,2,282.79120088312663
139,03075,ふ,4,150.31219813903485
140,03076,ぶ,6,173.52689894115773
141,03077,ぷ,5,195.59743102790972
142,03078,へ,1,99.78473530788476
143,03079,べ,3,122.54570950990036
144,0307a,ぺ,2,145.06064923772746
145,0307b,ほ,4,294.50346356159525
146,0307c,ぼ,6,317.7011185606947
147,0307d,ぽ,5,339.77179650493696
148,0307e,ま,3,259.1609621582837
149,0307f,み,2,244.01268794990796
150,03080,む,3,268.31935271998134
151,03081,め,2,289.581922121425
152,03082,も,3,230.589171420362
153,03083,ゃ,3,167.13696318716404
154,03084,や,3,210.67229522538688
155,03085,ゅ,2,236.17338057434267
156,03086,ゆ,2,295.3180725958954
157,03087,ょ,2,156.29276968319112
158,03088,よ,2,196.4751667544238
159,03089,ら,2,178.2497551032543
160,0308a,り,2,147.33123994786143
161,0308b,る,1,243.2642045360593
162,0308c,れ,2,302.06384364567884
163,0308d,ろ,1,203.7757886177803
164,0308e,ゎ,2,240.6631603183488
165,0308f,わ,2,302.4538667503222
166,03090,ゐ,1,295.7293988016014
167,03091,ゑ,1,335.48002805363524
168,03092,を,3,261.02201178740575
169,03093,ん,1,208.344147585681
170,03094,ゔ,4,152.77836529404777
171,03095,ゕ,3,188.5259933125401
