,char,length,count
0,!,69.9795462701281,2
1,",",43.143023884014895,1
2,.,18.85766691197929,1
3,0,212.3957059901255,1
4,1,104.26886717595484,1
5,2,207.02189528737978,1
6,3,213.50480339631443,1
7,4,169.99355900987985,2
8,5,227.135950458934,2
9,6,235.37893475616687,1
10,7,153.2647656379323,2
11,8,287.4288986975984,1
12,9,233.52770123351763,1
13,:,37.715333823958574,2
14,;,61.89578880892806,2
15,?,127.69233390930987,2
16,A,215.45893976160212,3
17,B,316.58979129805914,3
18,C,184.4649221375573,1
19,D,228.53317613498453,2
20,E,217.72000000000003,4
21,F,155.32000000000002,3
22,G,234.47681056088106,2
23,H,204.69000000000003,3
24,I,77.52000000000001,1
25,J,126.94507901369495,1
26,K,199.25609741917967,3
27,L,125.1,2
28,M,323.0916744810964,4
29,N,246.40980739549883,3
30,O,227.36796504291044,1
31,P,207.02496388164155,2
32,Q,258.57844272907136,2
33,R,248.6685880117928,3
34,S,224.2556059165456,1
35,T,138.17000000000002,2
36,U,184.37580117100003,1
37,V,169.1181409618489,2
38,W,320.0354366493611,4
39,X,194.40025229381285,2
40,Y,137.43419389564244,3
41,Z,214.24022409421298,3
42,a,207.50838930089537,2
43,b,216.5964940057189,2
44,c,147.143930594898,1
45,d,216.5964940057189,2
46,e,203.61598887086325,2
47,f,129.9904347213759,2
48,g,276.68235383274884,3
49,h,176.137523909709,2
50,i,67.33883345598964,2
51,j,95.81772487517132,2
52,k,171.45688686272428,3
53,l,77.16,1
54,m,242.42806359370894,3
55,n,156.63752390970902,2
56,o,167.3491660822261,1
57,p,212.3464940057189,2
58,q,212.3464940057189,2
59,r,97.2128046917849,2
60,s,163.49778909538574,1
61,t,124.32776726119053,2
62,u,155.88874572060183,2
63,v,124.85156110158096,2
64,w,240.867489274094,4
65,x,148.85464106692083,2
66,y,146.0517056299138,2
67,z,168.01064709214367,3
68,"⺉"" kvg:variant=""true"" kvg:original=""刀"" kvg:radical=""tradit",132.71422322723268,2
69,"⺌"" kvg:variant=""true"" kvg:original=""小"" kvg:radical=""tradit",110.65000777543544,3
70,"⺍"" kvg:original=""つ"" kvg:radical=""tradit",72.99883595933392,3
71,"⺕"" kvg:variant=""true"" kvg:original=""彑"" kvg:radical=""tradit",267.53851965342386,3
72,"⺗"" kvg:variant=""true"" kvg:original=""心"" kvg:radical=""tradit",167.86125684818296,4
73,"⺡"" kvg:variant=""true"" kvg:original=""水"" kvg:radical=""tradit",72.95536690986444,3
74,"⺢"" kvg:variant=""true"" kvg:original=""水"" kvg:radical=""tradit",223.06835675834947,5
75,"⺤"" kvg:variant=""true"" kvg:original=""爪"" kvg:radical=""tradit",114.50980803788418,4
76,"⺦"" kvg:variant=""true"" kvg:original=""爿"" kvg:radical=""tradit",138.73506590728906,3
77,"⺨"" kvg:variant=""true"" kvg:original=""犬"" kvg:radical=""tradit",191.7950555019255,3
78,"⺭"" kvg:variant=""true"" kvg:original=""示"" kvg:radical=""tradit",208.69913194996255,4
79,"西"" kvg:variant=""true"" kvg:original=""襾"" kvg:radical=""general",258.40851707714296,6
80,"⻌"" kvg:original=""辶"" kvg:radical=""tradit",160.40397268417428,3
81,"⻏"" kvg:variant=""true"" kvg:original=""邑"" kvg:radical=""tradit",183.4945923350029,3
82,"⻖"" kvg:variant=""true"" kvg:original=""阜"" kvg:radical=""tradit",183.49458510513242,3
83,、,19.47516391959691,1
84,。,73.23354370295965,1
85,々,196.33206457717677,3
86,〆,185.49451107521287,2
87,ぁ,251.74163002470974,3
88,あ,314.00266158482293,3
89,ぃ,88.36048943590927,2
90,い,106.83516894272401,2
91,ぅ,105.99154490132368,2
92,う,129.56448972721938,2
93,ぇ,174.53467990338163,2
94,え,220.77799165363828,2
95,ぉ,224.66530759619476,3
96,お,279.4276611623,3
97,か,204.07386365993597,3
98,が,227.2715186590354,5
99,き,196.8704087188127,4
100,ぎ,220.0653363871972,6
101,く,92.98191880124732,1
